"molecular.formula","mz","DBE","HC","OC","NC","C","H","N","O","S","Class","AI","AImod","NOSC","DBE_O","GFE","Compound.category","fl.categories","categories","aliphatic","low.O.unsaturated","high.O.unsaturated","polyphenols","condensed.aromatics","fl_condensed.aromatics","fl_polyphenolic","fl_highly.unsat.phenolic","fl_aliphatic","fl_peptide","fl_sugar","cluster","order"
"C10H10O10N0S0",289.02012,6,1,1,0,10,10,0,10,0,"CHO",0,0.2,1,-4,31.8,"Sugars","highly.unsat.phenolic","high O unsaturated",0,0,1,0,0,0,0,1,0,0,0,"1",3668
"C10H10O3N0S0",177.055718,6,1,0.3,0,10,10,0,3,0,"CHO",0.428571428571429,0.529411764705882,-0.4,3,71.7,"Polyphenolic","polyphenolic","polyphenols",0,0,0,1,0,0,1,0,0,0,0,"1",3998
"C10H10O4N0S0",193.050632,6,1,0.4,0,10,10,0,4,0,"CHO",0.333333333333333,0.5,-0.2,2,66,"Highly_Unsaturated_and_Phenolic","highly.unsat.phenolic","polyphenols",0,0,0,0,0,0,0,1,0,0,0,"1",3667
"C10H10O5N0S0",209.045547,6,1,0.5,0,10,10,0,5,0,"CHO",0.2,0.466666666666667,0,1,60.3,"Highly_Unsaturated_and_Phenolic","highly.unsat.phenolic","high O unsaturated",0,0,1,0,0,0,0,1,0,0,0,"1",3997
"C10H10O6N0S0",225.040462,6,1,0.6,0,10,10,0,6,0,"CHO",0,0.428571428571429,0.2,0,54.6,"Highly_Unsaturated_and_Phenolic","highly.unsat.phenolic","high O unsaturated",0,0,1,0,0,0,0,1,0,0,0,"1",3641
"C10H10O7N0S0",241.035376,6,1,0.7,0,10,10,0,7,0,"CHO",0,0.384615384615385,0.4,-1,48.9,"Highly_Unsaturated_and_Phenolic","highly.unsat.phenolic","high O unsaturated",0,0,1,0,0,0,0,1,0,0,0,"1",3311
"C10H10O8N0S0",257.030291,6,1,0.8,0,10,10,0,8,0,"CHO",0,0.333333333333333,0.6,-2,43.2,"Highly_Unsaturated_and_Phenolic","highly.unsat.phenolic","high O unsaturated",0,0,1,0,0,0,0,1,0,0,0,"1",3640
"C10H10O9N0S0",273.025205,6,1,0.9,0,10,10,0,9,0,"CHO",0,0.272727272727273,0.8,-3,37.5,"Highly_Unsaturated_and_Phenolic","highly.unsat.phenolic","high O unsaturated",0,0,1,0,0,0,0,1,0,0,0,"1",3310
"C10H11O6N1S0",240.051361,6,1.1,0.6,0.1,10,11,1,6,0,"CHON",0,0.333333333333333,0.4,0,48.9,"Highly_Unsaturated_and_Phenolic","highly.unsat.phenolic","high O unsaturated",0,0,1,0,0,0,0,1,0,0,0,"1",3639
"C10H11O7N1S0",256.046275,6,1.1,0.7,0.1,10,11,1,7,0,"CHON",0,0.272727272727273,0.6,-1,43.2,"Highly_Unsaturated_and_Phenolic","highly.unsat.phenolic","high O unsaturated",0,0,1,0,0,0,0,1,0,0,0,"1",3285
"C10H12O10N0S0",291.03577,5,1.2,1,0,10,12,0,10,0,"CHO",0,0,0.8,-5,37.5,"Sugars","highly.unsat.phenolic","high O unsaturated",0,0,1,0,0,0,0,1,0,0,0,"1",2943
"C10H12O3N0S0",179.071368,5,1.2,0.3,0,10,12,0,3,0,"CHO",0.285714285714286,0.411764705882353,-0.6,2,77.4,"Highly_Unsaturated_and_Phenolic","highly.unsat.phenolic","low O unsaturated",0,1,0,0,0,0,0,1,0,0,0,"1",3284
"C10H12O4N0S0",195.066282,5,1.2,0.4,0,10,12,0,4,0,"CHO",0.166666666666667,0.375,-0.4,1,71.7,"Highly_Unsaturated_and_Phenolic","highly.unsat.phenolic","low O unsaturated",0,1,0,0,0,0,0,1,0,0,0,"1",10540
"C10H12O5N0S0",211.061197,5,1.2,0.5,0,10,12,0,5,0,"CHO",0,0.333333333333333,-0.2,0,66,"Highly_Unsaturated_and_Phenolic","highly.unsat.phenolic","high O unsaturated",0,0,1,0,0,0,0,1,0,0,0,"1",3616
"C10H12O6N0S0",227.056112,5,1.2,0.6,0,10,12,0,6,0,"CHO",0,0.285714285714286,0,-1,60.3,"Highly_Unsaturated_and_Phenolic","highly.unsat.phenolic","high O unsaturated",0,0,1,0,0,0,0,1,0,0,0,"1",3949
"C10H12O7N0S0",243.051026,5,1.2,0.7,0,10,12,0,7,0,"CHO",0,0.230769230769231,0.2,-2,54.6,"Highly_Unsaturated_and_Phenolic","highly.unsat.phenolic","high O unsaturated",0,0,1,0,0,0,0,1,0,0,0,"1",3972
"C10H12O8N0S0",259.045941,5,1.2,0.8,0,10,12,0,8,0,"CHO",0,0.166666666666667,0.4,-3,48.9,"Highly_Unsaturated_and_Phenolic","highly.unsat.phenolic","high O unsaturated",0,0,1,0,0,0,0,1,0,0,0,"1",4304
"C10H12O9N0S0",275.040855,5,1.2,0.9,0,10,12,0,9,0,"CHO",0,0.0909090909090909,0.6,-4,43.2,"Highly_Unsaturated_and_Phenolic","highly.unsat.phenolic","high O unsaturated",0,0,1,0,0,0,0,1,0,0,0,"1",3973
"C10H13O10N1S0",306.046669,5,1.3,1,0.1,10,13,1,10,0,"CHON",0,0,1,-5,31.8,"Sugars","highly.unsat.phenolic","high O unsaturated",0,0,1,0,0,0,0,1,0,0,0,"1",4305
"C10H13O6N1S0",242.067011,5,1.3,0.6,0.1,10,13,1,6,0,"CHON",0,0.166666666666667,0.2,-1,54.6,"Highly_Unsaturated_and_Phenolic","highly.unsat.phenolic","high O unsaturated",0,0,1,0,0,0,0,1,0,0,0,"1",3970
"C10H13O9N1S0",290.051754,5,1.3,0.9,0.1,10,13,1,9,0,"CHON",0,0,0.8,-4,37.5,"Highly_Unsaturated_and_Phenolic","highly.unsat.phenolic","high O unsaturated",0,0,1,0,0,0,0,1,0,0,0,"1",4302
"C10H14O3N0S0",181.087018,4,1.4,0.3,0,10,14,0,3,0,"CHO",0.142857142857143,0.294117647058824,-0.8,1,83.1,"Highly_Unsaturated_and_Phenolic","highly.unsat.phenolic","low O unsaturated",0,1,0,0,0,0,0,1,0,0,0,"5",3971
"C10H14O4N0S0",197.081932,4,1.4,0.4,0,10,14,0,4,0,"CHO",0,0.25,-0.6,0,77.4,"Highly_Unsaturated_and_Phenolic","highly.unsat.phenolic","low O unsaturated",0,1,0,0,0,0,0,1,0,0,0,"5",4303
"C10H14O5N0S0",213.076847,4,1.4,0.5,0,10,14,0,5,0,"CHO",0,0.2,-0.4,-1,71.7,"Highly_Unsaturated_and_Phenolic","highly.unsat.phenolic","high O unsaturated",0,0,1,0,0,0,0,1,0,0,0,"5",4660
"C10H14O6N0S0",229.071762,4,1.4,0.6,0,10,14,0,6,0,"CHO",0,0.142857142857143,-0.2,-2,66,"Highly_Unsaturated_and_Phenolic","highly.unsat.phenolic","high O unsaturated",0,0,1,0,0,0,0,1,0,0,0,"5",4961
"C10H14O7N0S0",245.066676,4,1.4,0.7,0,10,14,0,7,0,"CHO",0,0.0769230769230769,0,-3,60.3,"Highly_Unsaturated_and_Phenolic","highly.unsat.phenolic","high O unsaturated",0,0,1,0,0,0,0,1,0,0,0,"1",4661
"C10H14O7N0S1",277.038747,4,1.4,0.7,0,10,14,0,7,1,"CHOS",0,0,0.2,-3,54.6,"Highly_Unsaturated_and_Phenolic","highly.unsat.phenolic","high O unsaturated",0,0,1,0,0,0,0,1,0,0,0,"1",4962
"C10H14O8N0S0",261.061591,4,1.4,0.8,0,10,14,0,8,0,"CHO",0,0,0.2,-4,54.6,"Highly_Unsaturated_and_Phenolic","highly.unsat.phenolic","high O unsaturated",0,0,1,0,0,0,0,1,0,0,0,"1",4326
