site.name,sample.name,series,year,campaign,julian.day,sampling.date,sample.type,sample.type.year,lat,long,temp.water.ysi,do.cor.perc.ysi,ph.ysi,DOC,bact.abundance
LPR-01,L313,L,2015,1,167,2015-06-16,PRLake,PRLake,51.18194,-63.92686,11.68,99.9898917751961,5.63,3.55923215611412,698500
LPR-02,L314,L,2015,1,168,2015-06-17,PRLake,PRLake,51.17814,-63.92364,9.08,98.2629051634171,5.87,2.95683529536536,908500
LPR-03,L315,L,2015,1,168,2015-06-17,PRLake,PRLake,51.18145,-63.89828,10.22,103.481172005478,5.98,3.91027680559975,610500
LPR-04,L316,L,2015,1,168,2015-06-17,PRLake,PRLake,51.18873,-63.90278,11.3,104.990296475618,6.28,3.58044331318273,544000
LPR-05,L317,L,2015,1,168,2015-06-17,PRLake,PRLake,51.18144,-63.92325,12.97,102.399830240688,5.71,3.37257397391028,804000
LI-01,L318,L,2015,1,168,2015-06-17,IslandLake,IslandLake,50.22601,-63.91127,18.46,97.182565201331,7.62,9.18602184749178,897000
LI-02,L319,L,2015,1,168,2015-06-17,IslandLake,IslandLake,50.21503,-63.89979,18.19,104.237603562453,8.29,11.0913140311804,643000
LI-03,L320,L,2015,1,168,2015-06-17,IslandLake,IslandLake,50.21899,-63.82191,17.98,107.022723112844,8.1,12.3814826598791,5311500
NA,LR01,LR,2015,1,158,2015-06-07,River,Downriver,50.3808166666667,-63.2654833333333,5.48,114.616561021593,6.06,5.9058785737231,545500
ROM-050.78,LR01.1,LR,2015,1,158,2015-06-07,River,Downriver,50.38165,-63.26705,4.94,110.615537360979,6.06,NA,NA
ROM-047.68,LR01.10,LR,2015,1,158,2015-06-07,River,Downriver,50.35494,-63.27006,5.35,110.051692581085,NA,NA,NA
ROM-048.84,LR01.11,LR,2015,1,158,2015-06-07,River,Downriver,50.36529,-63.26799,5.36,109.764026044917,NA,NA,NA
ROM-048.66,LR01.12,LR,2015,1,158,2015-06-07,River,Downriver,50.36356,-63.2683,5.37,111.845814087663,NA,NA,NA
