"samples","site.name","sample.name","series","year","campaign","julian.day","sampling.date","sample.type","sample.type.year","Season","lat","long","temp.water.ysi","do.cor.perc.ysi","ph.ysi","DOC","bact.abundance","elev_m","flacc_npx","uplength_m","snapped_lat_tm5","snapped_long_tm5"
"L313","LPR-01","L313","L",2015,1,167,"2015-06-16","PRLake","Headwater Ponds","June",51.18194,-63.92686,11.68,99.9898917751961,5.63,3.55923215611412,698500,881.2000122,23,111.9300003,5672009.06223,344822.640703
"L314","LPR-02","L314","L",2015,1,168,"2015-06-17","PRLake","Headwater Ponds","June",51.17814,-63.92364,9.08,98.2629051634171,5.87,2.95683529536536,908500,881.2000122,23,111.9300003,5672009.06223,344822.640703
"L315","LPR-03","L315","L",2015,1,168,"2015-06-17","PRLake","Headwater Ponds","June",51.18145,-63.89828,10.22,103.481172005478,5.98,3.91027680559975,610500,653.8449707,6812,1999.8399658,5671901.82826,346867.235125
"L316","LPR-04","L316","L",2015,1,168,"2015-06-17","PRLake","Headwater Ponds","June",51.18873,-63.90278,11.3,104.990296475618,6.28,3.58044331318273,544000,638.434021,9157,2835.6298828,5672530.93424,346509.788548
"L317","LPR-05","L317","L",2015,1,168,"2015-06-17","PRLake","Headwater Ponds","June",51.18144,-63.92325,12.97,102.399830240688,5.71,3.37257397391028,804000,881.2000122,23,111.9300003,5672009.06223,344822.640703
"L318","LI-01","L318","L",2015,1,168,"2015-06-17","IslandLake","Lake","June",50.22601,-63.91127,18.46,97.182565201331,7.62,9.18602184749178,897000,30.5618992,0,0,5565521.06536,346946.577992
"L319","LI-02","L319","L",2015,1,168,"2015-06-17","IslandLake","Lake","June",50.21503,-63.89979,18.19,104.237603562453,8.29,11.0913140311804,643000,30.0855007,1,14.2979002,5564267.87614,347229.72459
"L320","LI-03","L320","L",2015,1,168,"2015-06-17","IslandLake","Lake","June",50.21899,-63.82191,17.98,107.022723112844,8.1,12.3814826598791,5311500,24.4468994,0,0,5564886.65097,353231.653185
"LR01",NA,"LR01","LR",2015,1,158,"2015-06-07","River","Downriver","June",50.3808166666667,-63.2654833333333,5.48,114.616561021593,6.06,5.9058785737231,545500,25.7014999,63936900,477206,5583340.86429,392520.311966
"LR05","ROM-071.71","LR05","LR",2015,1,160,"2015-06-09","River","Downriver","June",50.53663,-63.22217,4.45,89.4700931759234,5.98,6.25495235035871,1246500,83.1699982,63385300,456453,5600771.14699,395366.774314
"LR06","ROM-014.27","LR06","LR",2015,1,161,"2015-06-10","River","Downriver","June",50.31046,-63.6461,5.5,109.878426449275,6.47,5.76132348217154,1285500,6.6456499,64851900,515436,5575119.59301,365597.435771
"LR12","ROM-368.71","LR12","LR",2015,1,165,"2015-06-14","HeadwaterLakes","Riverine Lakes","June",52.35785,-64.00396,10.25,97.8823247739267,6.69,5.36238714158151,1252000,471.9519958,10385700,133383,5802040.97809,338302.815135
"LR14","ROM-310.42","LR14","LR",2015,1,165,"2015-06-14","HeadwaterLakes","Riverine Lakes","June",52.09031,-63.83427,9.83,99.9411167264161,6.44,6.71817640638952,1590500,470.6260071,21528500,190207,5772631.83888,350815.010501
"LR15","ROM-307.25","LR15","LR",2015,1,166,"2015-06-15","River","Upriver","June",52.0642,-63.84167,8.55,99.3349317219087,5.88,5.93382118994591,1086500,469.0039978,22669700,193465,5770042.3605,349955.573552
"LR17","ROM-264.44","LR17","LR",2015,1,166,"2015-06-15","River","Upriver","June",51.78004,-63.7155,10.41,101.516955055622,NA,6.04464948562944,917000,443.2009888,33193000,239437,5738558.46598,359020.41875
"LR20","ROM-199.57","LR20","LR",2015,1,167,"2015-06-16","River","Upriver","June",51.38239,-63.5853,11.29,103.614356986432,6.18,5.37914943260155,1723000,382.4890137,41261000,310140,5694436.30561,368455.963266
"LRH04","ROM-041.89","LRH04","LR",2015,1,163,"2015-06-12","River","Downriver","June",50.31684,-63.30894,5.44,105.162951615625,6.9,5.97041043588928,513000,25.0676994,64101100,486296,5576120.44343,389660.739348
"LRH07","ROM-000.26","LRH07","LR",2015,1,163,"2015-06-12","River","Downriver","June",50.30083,-63.81233,6.88,101.203080095711,6.56,6.24297380422102,488500,0.260546,71272896,529522,5574114.19468,354440.554646
"PR01","PR-01A","PR01","PR",2015,1,158,"2015-06-07","Stream","Stream","June",51.368157,-63.876955,4.64,96.1777478540389,5.23,8.93350465788629,736500,521.0239868,448157,26573.9003906,5692433.55965,348354.212886
"PR03","PR-04B","PR03","PR",2015,1,159,"2015-06-08","Stream","Stream","June",51.21028,-63.92063,4.97,102.888092299271,6.06,4.70500053538923,682500,589.2349854,107913,7089.9799805,5675070.2714,345222.98087
"PR05","PR-05A","PR05","PR",2015,1,164,"2015-06-13","Stream","Stream","June",51.20287,-63.92476,4.31,58.6045184879068,5.9,5.5303664921466,1100000,605.6829834,14430,3888.3500977,5674249.50489,345005.68584
"PR07","PR-06A","PR07","PR",2015,1,164,"2015-06-13","Stream","Stream","June",51.1863,-63.9319,9.73,97.5809235039018,5.26,4.08219895287958,2063000,849.4390259,1082,1006.3499756,5672430.84919,344665.364209
"PR09","PR-03B","PR09","PR",2015,1,165,"2015-06-14","Stream","Stream","June",51.30254,-63.87091,8.41,101.48121358256,6.54,10.4352714423386,834000,497.118988,520224,23446.5996094,5685361.88587,348654.468011
"PR11","PR-02B","PR11","PR",2015,1,165,"2015-06-15","Stream","Stream","June",51.3055,-63.86446,10.09,97.4837788473897,7.41,6.35183246073298,659000,494.2070007,1171750,35974.6015625,5685670.67041,349115.0894
"RO2.01","RE2-087-MO","RO2-01","RO2",2015,1,161,"2015-06-10","Reservoir","RO2","June",50.65452,-63.26094,3.93,87.3392636002008,6.29,5.78113288360638,921000,134.9080048,60184300,436364,5614767.56736,395136.820911
"RO2.03","RE2-114-AE","RO2-03","RO2",2015,1,162,"2015-06-11","Reservoir","RO2","June",50.85649,-63.14495,7.02,90.3042250540197,6.3,6.27476175179356,999500,229.1699982,59231000,412033,5636271.55344,397453.074732
"RO2.05","RE2-118-M","RO2-05","RO2",2015,1,164,"2015-06-13","Reservoir","RO2","June",50.88609,-63.22355,8.65,106.111504257478,6.1,5.83455497382199,1253500,229.1699982,58646600,407244,5639617.25341,394436.22562
