samples,site.name,sample.name,series,year,campaign,julian.day,sampling.date,sample.type,sample.type.year,Season,elev_m,flacc_npx,uplength_m,snapped_lat_tm5,snapped_long_tm5
L313,LPR-01,L313,L,2015,1,167,2015-06-16,PRLake,Headwater Ponds,Spring,881.2000122,23,111.9300003,5672009.06223,344822.640703
L314,LPR-02,L314,L,2015,1,168,2015-06-17,PRLake,Headwater Ponds,Spring,881.2000122,23,111.9300003,5672009.06223,344822.640703
L315,LPR-03,L315,L,2015,1,168,2015-06-17,PRLake,Headwater Ponds,Spring,653.8449707,6812,1999.8399658,5671901.82826,346867.235125
L316,LPR-04,L316,L,2015,1,168,2015-06-17,PRLake,Headwater Ponds,Spring,638.434021,9157,2835.6298828,5672530.93424,346509.788548
L317,LPR-05,L317,L,2015,1,168,2015-06-17,PRLake,Headwater Ponds,Spring,881.2000122,23,111.9300003,5672009.06223,344822.640703
L318,LI-01,L318,L,2015,1,168,2015-06-17,IslandLake,Lake,Spring,30.5618992,0,0,5565521.06536,346946.577992
L319,LI-02,L319,L,2015,1,168,2015-06-17,IslandLake,Lake,Spring,30.0855007,1,14.2979002,5564267.87614,347229.72459
L320,LI-03,L320,L,2015,1,168,2015-06-17,IslandLake,Lake,Spring,24.4468994,0,0,5564886.65097,353231.653185
LR01,NA,LR01,LR,2015,1,158,2015-06-07,River,Downriver,Spring,25.7014999,63936900,477206,5583340.86429,392520.311966
LR05,ROM-071.71,LR05,LR,2015,1,160,2015-06-09,River,Downriver,Spring,83.1699982,63385300,456453,5600771.14699,395366.774314
LR06,ROM-014.27,LR06,LR,2015,1,161,2015-06-10,River,Downriver,Spring,6.6456499,64851900,515436,5575119.59301,365597.435771
LR12,ROM-368.71,LR12,LR,2015,1,165,2015-06-14,HeadwaterLakes,Riverine Lakes,Spring,471.9519958,10385700,133383,5802040.97809,338302.815135
LR14,ROM-310.42,LR14,LR,2015,1,165,2015-06-14,HeadwaterLakes,Riverine Lakes,Spring,470.6260071,21528500,190207,5772631.83888,350815.010501
