site.name,sample.name,series,year,campaign,julian.day,sampling.date,sample.type,lat,long,sample.type.year
NA,LR01,LR,2015,1,158,2015-06-07,River,50.3808166666667,-63.2654833333333,Downriver
ROM-050.78,LR01.1,LR,2015,1,158,2015-06-07,River,50.38165,-63.26705,Downriver
ROM-047.68,LR01.10,LR,2015,1,158,2015-06-07,River,50.35494,-63.27006,Downriver
ROM-048.84,LR01.11,LR,2015,1,158,2015-06-07,River,50.36529,-63.26799,Downriver
ROM-048.66,LR01.12,LR,2015,1,158,2015-06-07,River,50.36356,-63.2683,Downriver
ROM-050.76,LR01.13,LR,2015,1,158,2015-06-07,River,50.38148,-63.26656,Downriver
ROM-050.34,LR01.2,LR,2015,1,158,2015-06-07,River,50.37797,-63.26694,Downriver
ROM-050.19,LR01.3,LR,2015,1,158,2015-06-07,River,50.37671,-63.2666,Downriver
ROM-049.26,LR01.4,LR,2015,1,158,2015-06-07,River,50.36863,-63.26674,Downriver
ROM-048.89,LR01.5,LR,2015,1,158,2015-06-07,River,50.36537,-63.26615,Downriver
ROM-048.14,LR01.6,LR,2015,1,158,2015-06-07,River,50.35851,-63.26716,Downriver
ROM-045.45,LR01.8,LR,2015,1,158,2015-06-07,River,50.3377,-63.28703,Downriver
ROM-046.34,LR01.9,LR,2015,1,158,2015-06-07,River,50.344479,-63.27966,Downriver
ROM-045.02,LR02,LR,2015,1,158,2015-06-07,River,50.33364,-63.28686,Downriver
ROM-081.60,LR03,LR,2015,1,158,2015-06-08,River,50.6206,-63.17048,Downriver
ROM-081.58,LR03.1A,LR,2015,1,159,2015-06-08,River,50.62037,-63.16991,Downriver
ROM-081.65,LR03.1B,LR,2015,1,159,2015-06-08,River,50.62114,-63.16911,Downriver
ROM-081.66,LR03.1C,LR,2015,1,159,2015-06-08,River,50.62118,-63.16947,Downriver
ROM-080.74,LR03.2,LR,2015,1,159,2015-06-08,River,50.61313,-63.17186,Downriver
ROM-080.28,LR03.3,LR,2015,1,159,2015-06-08,River,50.60977,-63.17551,Downriver
ROM-079.09,LR03.4,LR,2015,1,159,2015-06-08,River,50.5985,-63.17772,Downriver
ROM-077.26,LR03.5,LR,2015,1,159,2015-06-08,River,50.58252,-63.1855,Downriver
ROM-075.36,LR03.6,LR,2015,1,159,2015-06-08,River,50.56631,-63.19632,Downriver
ROM-074.71,LR03.7,LR,2015,1,159,2015-06-08,River,50.56102,-63.20131,Downriver
ROM-073.51,LR03.8,LR,2015,1,159,2015-06-08,River,50.55141,-63.21035,Downriver
ROM-072.58,LR03.9,LR,2015,1,159,2015-06-08,River,50.54395,-63.21669,Downriver
ROM-072.27,LR04,LR,2015,1,159,2015-06-08,River,50.5416,-63.21947,Downriver
ROM-071.71,LR05,LR,2015,1,160,2015-06-09,River,50.53663,-63.22217,Downriver
ROM-071.71,LR05.1,LR,2015,1,160,2015-06-09,River,50.53663,-63.22217,Downriver
ROM-070.83,LR05.2,LR,2015,1,160,2015-06-09,River,50.53019,-63.23013,Downriver
ROM-069.72,LR05.3,LR,2015,1,160,2015-06-09,River,50.52119,-63.23864,Downriver
ROM-068.84,LR05.4,LR,2015,1,160,2015-06-09,River,50.51364,-63.24346,Downriver
ROM-066.92,LR05.5,LR,2015,1,160,2015-06-09,River,50.49682,-63.25062,Downriver
ROM-065.79,LR05.6,LR,2015,1,160,2015-06-09,River,50.48556,-63.24945,Downriver
ROM-064.79,LR05.7,LR,2015,1,160,2015-06-09,River,50.4764,-63.24505,Downriver
ROM-063.69,LR05.8,LR,2015,1,160,2015-06-09,River,50.46718,-63.24331,Downriver
ROM-014.27,LR06,LR,2015,1,161,2015-06-10,River,50.31046,-63.6461,Downriver
ROM-014.27,LR06.1,LR,2015,1,161,2015-06-10,River,50.31046,-63.6461,Downriver
ROM-012.45,LR06.2,LR,2015,1,161,2015-06-10,River,50.30158,-63.66839,Downriver
ROM-010.87,LR06.3,LR,2015,1,161,2015-06-10,River,50.30536,-63.68985,Downriver
ROM-008.68,LR06.4,LR,2015,1,161,2015-06-10,River,50.31068,-63.71867,Downriver
ROM-007.76,LR06.5,LR,2015,1,161,2015-06-10,River,50.31489,-63.72943,Downriver
ROM-005.42,LR06.6,LR,2015,1,161,2015-06-10,River,50.32309,-63.75034,Downriver
ROM-004.72,LR06.7,LR,2015,1,161,2015-06-10,River,50.32178,-63.76003,Downriver
ROM-003.75,LR07,LR,2015,1,161,2015-06-10,River,50.31522,-63.76936,Downriver
ROM-168.09,LR08,LR,2015,1,162,2015-06-11,River,51.20696,-63.35264,Upriver
ROM-168.09,LR08.0.1,LR,2015,1,162,2015-06-11,River,51.20696,-63.35264,Upriver
ROM-168.31,LR08.0.2,LR,2015,1,162,2015-06-11,River,51.20849,-63.35023,Upriver
ROM-168.32,LR08.0.3,LR,2015,1,162,2015-06-11,River,51.20876,-63.35056,Upriver
ROM-168.31,LR08.0.4,LR,2015,1,162,2015-06-11,River,51.2091,-63.35163,Upriver
ROM-168.37,LR08.0.5,LR,2015,1,162,2015-06-11,River,51.20987,-63.35236,Upriver
