site.name,sample.name,series,year,campaign,julian.day,sampling.date,sample.type,lat,long,sample.type.year
LPR-01,L313,L,2015,1,167,2015-06-16,PRLake,51.18194,-63.92686,PRLake
LPR-02,L314,L,2015,1,168,2015-06-17,PRLake,51.17814,-63.92364,PRLake
LPR-03,L315,L,2015,1,168,2015-06-17,PRLake,51.18145,-63.89828,PRLake
LPR-04,L316,L,2015,1,168,2015-06-17,PRLake,51.18873,-63.90278,PRLake
LPR-05,L317,L,2015,1,168,2015-06-17,PRLake,51.18144,-63.92325,PRLake
LI-01,L318,L,2015,1,168,2015-06-17,IslandLake,50.22601,-63.91127,IslandLake
LI-02,L319,L,2015,1,168,2015-06-17,IslandLake,50.21503,-63.89979,IslandLake
LI-03,L320,L,2015,1,168,2015-06-17,IslandLake,50.21899,-63.82191,IslandLake
ES-01,M01,ES,2015,1,169,2015-06-18,Marine,50.28242,-63.86163,Marine
ES-02,M02,ES,2015,1,169,2015-06-18,Marine,50.27224,-63.85679,Marine
ES-03,M03,ES,2015,1,169,2015-06-18,Marine,50.2566,-63.8327,Marine
ES-04,M04,ES,2015,1,169,2015-06-18,Marine,50.24688,-63.78448,Marine
ES-05,M05,ES,2015,1,169,2015-06-18,Marine,50.24012,-63.7585,Marine
ES-06,M06,ES,2015,1,169,2015-06-18,Marine,50.23954,-63.72033,Marine
ES-07,M07,ES,2015,1,169,2015-06-18,Marine,50.21693,-63.70586,Marine
ES-08,M08,ES,2015,1,169,2015-06-18,Marine,50.18846,-63.69431,Marine
PR-01A,PR01,PR,2015,1,158,2015-06-07,Stream,51.368157,-63.876955,Stream
PR-01A,PR01.1,PR,2015,1,158,2015-06-07,Stream,51.368157,-63.876955,Stream
PR-01A,PR01.2,PR,2015,1,158,2015-06-07,Stream,51.368157,-63.876955,Stream
PR-01B,PR02,PR,2015,1,158,2015-06-07,Stream,51.36719,-63.87731,Stream
PR-04B,PR03,PR,2015,1,159,2015-06-08,Stream,51.21028,-63.92063,Stream
PR-04B,PR03.1,PR,2015,1,159,2015-06-08,Stream,51.21028,-63.92063,Stream
PR-04B,PR03.2,PR,2015,1,159,2015-06-08,Stream,51.21028,-63.92063,Stream
PR-04B,PR03.3,PR,2015,1,159,2015-06-08,Stream,51.21028,-63.92063,Stream
PR-04A,PR04,PR,2015,1,159,2015-06-08,Stream,51.21305,-63.92265,Stream
PR-04A,PR04.1,PR,2015,1,159,2015-06-08,Stream,51.21305,-63.92265,Stream
