FID;FID1;FID_;site_name;sample_nam;series;year;campaign;julian_day;sampling_d;sample_typ;soil_type;lat;long;km_hq;flow_dista;position;depth;depth_sate;secchi;width;elevation;elevation_;flow_accum;velocity_d;velocity_1;discharge_;velocity_2;discharge1;velocity_c;velocity_s;discharg_1;Seepage_me;strahler_s;slope;distance_t;distance_f;catchment_;atm_pressu;temp_water;do_perc_ys;do_cor_per;do_conc_ys;cond_ysi;ph_ysi;alkalinity;wind_max_k;wind_avg_k;temp_air_k;humidity_r;pressure_a;bact_abund;bact_abu_1;bact_produ;chla;chla_se;TP;TP_se;TN;TN_se;NH4;NH4_se;NOx;NOx_se;NO2;NO2_se;NO3;NO3_se;Fe;DOC;DOC_se;DIC;DIC_se;lability;lability_s;photodegra;photodeg_1;C1;C2;C3;C4;C5;C6;CDOM;pco2_heads;pco2_hea_1;pch4_heads;pch4_hea_1;pco2_hea_2;pco2_hea_3;pch4_hea_2;pch4_hea_3;pn2o_heads;pn2o_hea_1;flux_co2;flux_ch4;kco2_flux;kch4_flux;k600;kch4_k600;Rn;Rn_se;d13C_co2;d13C_co2_s;d13C_ch4;d13C_ch4_s;d2H_h2o;dO18_h2o;dO17_h2o;d13C_DOC;d13C_DIC;POM_PIM;POM_PIM_se;POM;PIM;POM_N_perc;POM_C_perc;POC;d13C_POM;Comments;sample_t_1;wrt_1508;NEAR_FID;NEAR_DIST;NEAR_X;NEAR_Y;pointid
0;0;0;LPR-01;L313;L;2015;1;167;2015-06-16 00:00:00;PRLake;NA;51,181939999999997;-63,926859999999998;NA;NA;NA;0,720000000000000;NA;NA;NA;NA;880;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;251,229502048999990;0,005303904034000;678,899999999999977;11,680000000000000;89,299999999999997;99,989891775199993;9,699999999999999;2;5,630000000000000;-11,896825205700001;NA;NA;NA;NA;NA;698500;1500;5,140186723100000;1,404821052630000;0,272021052632000;29,077682420100000;3,358352093200000;0,271226000000000;0,024992000000000;NA;NA;NA;NA;NA;NA;NA;NA;407,615000000000009;3,559232156110000;0,009545020680800;NA;NA;NA;NA;0,666482546638000;22,075736325400001;0,147966976757000;0,364487559214000;0,099825575863500;0,134380903766000;0,120628844232000;NA;1,727250000000000;1231,796309430000065;48,404627888400000;121,758207662999993;2,373425764850000;964,186479211999995;5,995215908260000;78,095306132999994;4,333356317270000;NA;NA;NA;NA;NA;NA;NA;NA;158,789454863999993;NA;-18,601098985499998;0,200830821865000;-71,684197132300000;0,127734775201000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;heart shaped lake (isolated, upstream);PRLake;0,136338781974000;326227;0,000000000000000;-63,917708333299998;51,193541666700000;413517
1;1;1;LPR-02;L314;L;2015;1;168;2015-06-17 00:00:00;PRLake;NA;51,178139999999999;-63,923639999999999;NA;NA;NA;0,680000000000000;NA;NA;NA;NA;864;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;251,031712642999992;0,006237078639000;683,000000000000000;9,080000000000000;92,299999999999997;98,262905163400006;10,190000000000000;7;5,870000000000000;17,792535811699999;5;4.7;8.9;81.5;910.1;908500;2500;0,000000000000000;0,872754716981000;0,071245283018900;8,721956467500000;0,548302382563000;0,137151000000000;0,020486000000000;NA;NA;NA;NA;NA;NA;NA;NA;609,936000000000035;2,956835295370000;0,032877293456400;NA;NA;NA;NA;0,000000000000000;0,000000000000000;0,147496392576000;0,348619722233000;0,097194676488100;0,129214236341000;0,093835496574100;NA;1,381800000000000;1063,573408590000099;9,714465148000000;280,634679855000002;2,797028502360000;920,146243309000056;65,373134889300005;171,661486247999989;22,429012390299999;NA;NA;NA;NA;NA;NA;NA;NA;32,106085623200002;NA;-19,773389695300001;0,245241170744000;-66,283884684200004;0,161434840200000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;headwater lake (1st chain lake, most upstream);PRLake;0,136338781974000;326227;0,000000000000000;-63,917708333299998;51,193541666700000;413517
2;2;2;LPR-03;L315;L;2015;1;168;2015-06-17 00:00:00;PRLake;NA;51,181449999999998;-63,898280000000000;NA;NA;NA;0,450000000000000;NA;NA;NA;NA;652;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;248,732574883000012;0,006966256935000;701,600000000000023;10,220000000000001;97,599999999999994;103,481172005000005;10,730000000000000;9;5,980000000000000;38,428635895799999;1.6;1.3;13.1;76;934.7;610500;1500;0,000000000000000;0,598988782856000;0,026867570735000;7,351200511100000;1,233680360770000;0,128631000000000;0,021329000000000;NA;NA;NA;NA;NA;NA;NA;NA;241,679000000000002;3,910276805600000;0,011666136387700;1.3691801887793;0.00318167356029379;NA;NA;0,000000000000000;0,000000000000000;0,183415015703000;0,454582529616000;0,147445075945000;0,138149563726000;0,121867870199000;NA;2,072700000000000;1321,558163010000044;99,423891704799999;53,777862246100000;12,249799991000000;1082,525746640000079;52,656086948800002;90,308215627400003;3,902952713530000;NA;NA;NA;NA;NA;NA;NA;NA;0,000000000000000;NA;-20,555876508000001;0,207526595588000;-62,164838031999999;0,180077418711000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;headwater lake (2nd chain lake);PRLake;0,002224513043480;328575;0,000000000000000;-63,898333333300002;51,181666666700004;416249
3;3;3;LPR-04;L316;L;2015;1;168;2015-06-17 00:00:00;PRLake;NA;51,188730000000000;-63,902780000000000;NA;NA;NA;0,500000000000000;NA;NA;NA;NA;637;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;247,806406828999997;0,007539182739000;703,100000000000023;11,300000000000001;97,700000000000003;104,990296475999997;10,640000000000001;9;6,280000000000000;45,689456029600002;4.2;2.9;15.2;60.2;936.8;544000;7000;5,180548726780000;0,566400000000000;0,070800000000000;5,843368959050000;0,548302382563000;0,144417500000000;0,001075500000000;NA;NA;NA;NA;NA;NA;NA;NA;154,590000000000003;3,580443313180000;0,049846219111300;1.10722239898186;0.0127266942411577;NA;NA;0,000000000000000;0,000000000000000;0,178289559802000;0,414680450522000;0,121345355223000;0,135134717002000;0,112237963225000;NA;1,842400000000000;812,421424009000020;55,090489596899999;143,463165344000004;73,865556645500007;582,223454495000055;18,685188042099998;125,246978607000003;8,817146589440000;NA;NA;NA;NA;NA;NA;NA;NA;0,000000000000000;NA;-17,191978156099999;0,061293379017100;-66,443452265800005;0,305933940602000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;headwater lake (3rd chain lake,most downstream);PRLake;0,002224513043480;327518;0,000000000000000;-63,903333333299997;51,187500000000000;415022
4;4;4;LPR-05;L317;L;2015;1;168;2015-06-17 00:00:00;PRLake;NA;51,181440000000002;-63,923250000000003;NA;NA;NA;0,770000000000000;NA;NA;NA;NA;887;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;251,181491795999989;0,006237078639000;682,500000000000000;12,970000000000001;92,099999999999994;102,399830241000004;9,699999999999999;5;5,710000000000000;3,944962890010000;3.3;2;15.1;41.4;909.1;804000;500;6,756080043410000;1,073800000000000;0,224200000000000;8,927569860960000;0,342688989102000;0,155955000000000;0,000652000000000;NA;NA;NA;NA;NA;NA;NA;NA;279,997999999999990;3,372573973910000;0,112419132464000;0.876020786933927;0.00530278926715282;NA;NA;0,000000000000000;0,000000000000000;0,168430270598000;0,399514999974000;0,114769248066000;0,120325925946000;0,100114073121000;NA;1,727250000000000;949,079587790999994;125,039941020000001;321,331612704999998;2,465208959310000;676,036757994000027;0,000000000000000;118,702835155000002;0,000000000000000;NA;NA;NA;NA;NA;NA;NA;NA;79,661791919799995;NA;-15,339653187700000;0,000000000000000;-61,311327813600002;0,000000000000000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;small round lake (isolated, upstream);PRLake;0,136338781974000;326227;0,000000000000000;-63,917708333299998;51,193541666700000;413517
5;5;5;LI-01;L318;L;2015;1;168;2015-06-17 00:00:00;IslandLake;NA;50,226010000000002;-63,911270000000002;NA;NA;NA;1,000000000000000;NA;NA;NA;NA;13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;17,041990433300001;0,005846447409000;757,700000000000045;18,460000000000001;97,099999999999994;97,182565201299994;9,090000000000000;246;7,620000000000000;2333,489326009999786;3.2;2.4;12.8;55.4;1009.3;897000;47000;0,000000000000000;3,108952941180000;0,360247058824000;10,229788019500001;0,548302382563000;0,348054500000000;0,037452500000000;NA;NA;NA;NA;NA;NA;NA;NA;8,324000000000000;9,186021847490000;0,338848234171000;29.1250397709195;0.635274154205034;NA;NA;0,000000000000000;0,000000000000000;0,004776014293160;0,022442532304700;0,014698351680200;0,001711767142480;0,010250045858400;NA;2,303000000000000;1132,512747629999922;120,329331307000004;1077,436455830000114;210,074278410000005;1895,958293070000082;0,000000000000000;928,567951103000041;0,000000000000000;NA;NA;NA;NA;NA;NA;NA;NA;0,000000000000000;NA;-18,851596176800001;0,000000000000000;-63,503688095699999;0,000000000000000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;island lake 1 (La Grande Ile);IslandLake;0,085040475240500;427511;0,000000000000000;-63,807708333299999;50,296250000000001;547615
6;6;6;LI-02;L319;L;2015;1;168;2015-06-17 00:00:00;IslandLake;NA;50,215029999999999;-63,899790000000003;NA;NA;NA;0,800000000000000;NA;NA;NA;NA;27;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;17,811990433300000;0,005559984507000;757,399999999999977;18,190000000000001;103,799999999999997;104,237603562000004;9,800000000000001;264;8,289999999999999;2633,884256119999918;4.7;3.1;12;77.5;1008.7;643000;2000;0,000000000000000;4,673206896550000;0,307206896552000;9,612947839169999;0,342688989102000;0,301556500000000;0,009304500000000;NA;NA;NA;NA;NA;NA;NA;NA;27,504000000000001;11,091314031200000;0,145296425920000;31.3219853643016;0.267790857991184;NA;NA;0,000000000000000;0,000000000000000;0,524087093224000;0,712953746372000;0,182786709323000;0,215164386073000;0,257300421149000;NA;3,454500000000000;629,089675997999962;50,503337304200002;138,474286589000002;7,460766247060000;769,398609598000007;49,255600760400000;78,232409426600000;5,548933418800000;NA;NA;NA;NA;NA;NA;NA;NA;0,000000000000000;NA;-21,064945754499998;0,194408408129000;-60,332504370300001;0,579190703958000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;island lake 2 (La Grande Ile);IslandLake;0,085040475240500;427511;0,000000000000000;-63,807708333299999;50,296250000000001;547615
7;7;7;LI-03;L320;L;2015;1;168;2015-06-17 00:00:00;IslandLake;NA;50,218989999999998;-63,821910000000003;NA;NA;NA;1,100000000000000;NA;NA;NA;NA;24;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;19,016456611999999;0,005369009239000;707,500000000000000;17,980000000000000;100,299999999999997;107,022723112999998;9,440000000000000;53;8,100000000000000;9270,072682710000663;7.2;5.9;13.1;67.1;1008.9;5311500;17500;0,000000000000000;5,226759689920000;0,122573643411000;27,227161879000001;1,644907147690000;0,469599000000000;0,007969000000000;NA;NA;NA;NA;NA;NA;NA;NA;8,743000000000000;12,381482659900000;0,160674514795000;4.08155689892884;0.00371195248765496;NA;NA;0,000000000000000;0,000000000000000;0,601288335045000;1,012665357830000;0,199379681948000;0,312721104627000;0,194394745652000;NA;6,333250000000000;901,416928897000048;74,060725961700001;348,496125622000022;13,304649010600000;908,454563423999957;0,380924594601000;242,435746932000001;0,599886093242000;NA;NA;NA;NA;NA;NA;NA;NA;91,343175333700003;NA;-17,793015525800001;0,084295851242500;-53,379984429700002;0,201957900360000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;island lake (Ile Quarry);IslandLake;0,085040475240500;427511;0,000000000000000;-63,807708333299999;50,296250000000001;547615
8;8;8;ES-01;M01;ES;2015;1;169;2015-06-18 00:00:00;Marine;NA;50,282420000000002;-63,861629999999998;NA;NA;NA;0,000000000000000;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9,910250930569999;190,239613905999988;761,600000000000023;5,110000000000000;103,900000000000006;89,038764986399997;11,359999999999999;36782;7,820000000000000;0,000000000000000;1;0.7;10.7;87.7;1013.4;164000;2483;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;NA;NA;NA;NA;NA;NA;NA;NA;0,000000000000000;0,000000000000000;0,000000000000000;NA;NA;NA;NA;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;NA;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;NA;NA;NA;NA;NA;NA;NA;NA;0,000000000000000;NA;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Marine;0,085040475240500;427511;0,000000000000000;-63,807708333299999;50,296250000000001;547615
9;9;9;ES-02;M02;ES;2015;1;169;2015-06-18 00:00:00;Marine;NA;50,272239999999996;-63,856789999999997;NA;NA;NA;0,000000000000000;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;11,071990433300000;190,237309181999990;761,500000000000000;5,980000000000000;103,500000000000000;94,096033422199994;11,740000000000000;14495;7,800000000000000;0,000000000000000;4.9;4.3;12.8;82.6;1013.3;488000;26000;0,419792429324000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;NA;NA;NA;NA;NA;NA;NA;NA;0,000000000000000;0,000000000000000;0,000000000000000;NA;NA;NA;NA;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;NA;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;NA;NA;NA;NA;NA;NA;NA;NA;0,000000000000000;NA;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Marine;0,085040475240500;427511;0,000000000000000;-63,807708333299999;50,296250000000001;547615
